id,product_id,user_id,comment,star_number,updated_at,created_at
16757337,124742926,1110677,"Hàng mới (Sản xuất 2022) nguyên seal, do hàng giá trị cao nên Tiki để khá nhiều lớp lót bên trong nên hàng nhận được khá to. Màu gold trên Mac khá giống màu rose gold trên dòng IP 6 hơn là màu gold trên IP 13 Pro Max của mình, pin từ lúc xuất xưởng (87%) cho khi về tay mình (6%) hơn 5 tháng, trâu khủng khiếp. Con Mac này trên Tiki rẻ hơn ngoài FPT khoảng 1tr nên, chưa kể mình còn áp được mã 1tr (khai trương ARR trên Tiki) nên giá cuối 21.8tr khá tốt. Trải nghiệm sương sương thì mình rất hài lòng và mê không tả nỗi về em này. Thank Tiki về sản phẩm và chất lượng dịch vụ giao hàng.",5,2022-01-01 00:00:01,2022-01-01 00:00:01
14766918,124742926,5249922,"Tình hình là sau 6 ngày sử dụng, máy hoàn hão về nội thất nhưng chân máy 1 bên bị vênh, chỉ có 3 chân là chạm đáy. Mình đã thử xoay máy đặt lại và để ở các mặt phẳng khác nhau trong ngôi nhà nhưng vẫn lỗi. Vậy là máy có khả năng bị cong, nhắm mắt nhìn cũng rất khó thấy. Hiện Tiki đang xét TH của mình và chưa có câu trả lời. Sẽ cập nhật sau.",1,2022-01-01 00:00:01,2022-01-01 00:00:01
12133904,124742926,1464242,"Mình đặt máy Mac Air M1 16Gb Ram - 256 SSD giá 30.699, đặt hôm 16/8/21, nhưng do dịch Covid19 phức tạp ở TPHCM nên 8/9/21 mới nhận hàng, trễ hơn 20 ngày, nhưng chấp nhận được  Còn về việc giao hàng thì nhân viên lịch sự, hàng được đóng gói cẩn thận. Hàng có giá trị lớn nên phải cung cấp mã OTP tiki nhắn SMS thì mới nhận hàng được, nhân viên có mở hộp carton tại chỗ cho mình kiểm hàng.   Hàng nguyên seal, nói chung mọi thứ đều ổn, đang cài đặt. Chưa thấy gì bất thường hehe  Còn về macbook thì mình dùng nhiều rồi, đánh giá con này kiểu dáng thì như các dòng trước, còn quá trình sử dụng thì nhanh mượt thiệt, đặt biệt có nút mở nguồn tích hợp dấu vân tay mình thấy rất nhạy luôn, chạm phát là mở máy ngay, dùng để đăng nhập các app cũng sướng, y như cảm biến vân tay trên iphone  Có hạn chế là thời điểm hiện tại, mình cần làm việc online nhiều, mà chưa có nhiều ứng dụng chạy native trên M1, đặc biệt là Microsoft Teams, mong là sắp tới có đầy đủ",5,2022-01-01 00:00:01,2022-01-01 00:00:01
11648039,124742926,299031,"Hàng chình hãng, nguyên seal, máy mới và đẹp. Mình khá hài lòng. Thời gian giao hàng chuẩn dự kiến. Tuy nhiên khi nhận hàng từ bên vận chuẩn hộp bị móp rách và nát. Không biết là do Tiki hay do bên vận chuyển. Mình khá là lo lắng khi nhận hàng, nhưng may bên trong vẫn còn nguyên. Với hàng giá trị cao, mong Tiki cẩn thận hơn.",4,2022-01-01 00:00:01,2022-01-01 00:00:01
7608910,124742926,137665,"- Đóng gói chắc chắn, giao hàng nhanh - Sản phẩm nguyên seal, tuy nhiên cái của mình hộp hơi bẩn, bám bụi - Sản phẩm được active tự động sau khi bạn setup, 1 năm bảo hành, 3 tháng free hỗ trợ qua điện thoại - Trải nghiệm khá mượt, nhưng không quá nhanh như kỳ vọng khi đọc giới thiệu và review. Nhưng dùng lâu mà không có cảm giác nóng máy gì cả, hài lòng",5,2022-01-01 00:00:01,2022-01-01 00:00:01
16048200,124742926,18817789,"Vừa mở lên máy đã bị lỗi chưa cài OS, mò cài vẫn lỗi ko cài đc, tiki đang đem về sửa chưa thấy phản hồi lại. Để xem có 1 đổi 1 như cam kết lúc bán ko hay chỉ ghi vậy thôi rồi về sửa xong rồi bắt nhận lại máy cũ. Khuyên chân thành là mua hàng điện tử nên ra store mua, mua online 1 lần tởn tới già",1,2022-01-01 00:00:01,2022-01-01 00:00:01
13307926,124742926,762011,"Giao hàng nhanh, đặt 12/11 đến 18 đã nhận hàng dù giao từ Hà Nội vào. Đóng gói thùng to lót rất nhiều giấy bìa chống sốc. Hàng nhận được nguyên vẹn từ thùng ngoài cho đến hộp máy bên trong không móp méo gì. Nhận hàng giá trị cao phải cung cấp OTP từ Tiki cho shipper. Mở máy ra đẹp mê, dùng mượt chưa thấy có lỗi lầm gì, các cổng kết nối và bluetooth đều sử dụng tốt. Xài cũng nhiều như qua nay chỉ tuột hơn 20% pin. Cảm thấy rất hài lòng",5,2022-01-01 00:00:01,2022-01-01 00:00:01
15186958,124742926,7767949,"Mình đặt màu Grey nhưng luống cuống bấm nhầm màu Gold. Liên hệ đổi nhưng tiki không hỗ trợ. Bạn nào cần mua liên hệ 0334383103 mình pass lại giá hữu nghị. Tình trạng như ảnh chưa hề đụng vào cọng lông nào ạ. Cảm ơn",5,2022-01-01 00:00:01,2022-01-01 00:00:01
12752297,124742926,59737,"Tiki giao hàng nhanh, đóng gói cẩn thận. Mua tặng vợ nhân dịp sinh nhật. Với những gì mà MacBook Air M1 hay các máy M1 mang lại đến thời điểm này thì mình hoàn toàn bất ngờ và thấy nó quá xứng đáng. Đáng nể nhất có thể kể đến hiệu năng làm việc, pin trâu và không nóng. Những vấn đề thường là khó khăn nhất của những chiếc máy tính xách tay nói chung hay MacBook Intel nói riêng đã được Apple giải quyết gọn nhẹ bằng con chip M1 và sự tối ưu hoá về phần mềm macOS.",5,2022-01-01 00:00:01,2022-01-01 00:00:01
13485698,124742926,1027876,"Sản phẩm chính hãng, cài đặt ban đầu xong tự kích hoạt bảo hành. Thời gian giao hàng trễ hơn so với dự kiến, bạn nào ở tỉnh/ TP khác HCM, HN nên cân nhắc vì Tiki chuyển cho bên thứ 3 giao hàng chứ không phải NV của Tiki.",5,2022-01-01 00:00:01,2022-01-01 00:00:01
